,state,good,prop_selling
167,Connecticut,Seafood,0.277778
168,Connecticut,Soap,0.888889
169,Connecticut,Tofu,0
170,Connecticut,Trees,0.222222
171,Connecticut,Vegetables,0.981481
172,Connecticut,WildHarvested,0.037037
173,Connecticut,Wine,0.111111
174,Delaware,Bakedgoods,0.678571
175,Delaware,Beans,0
176,Delaware,Cheese,0.464286
177,Delaware,Coffee,0.321429
178,Delaware,Crafts,0.285714
179,Delaware,Eggs,0.75
180,Delaware,Flowers,0.714286
181,Delaware,Fruits,0.785714
182,Delaware,Grains,0.107143
183,Delaware,Herbs,0.678571
184,Delaware,Honey,0.714286
185,Delaware,Jams,0.714286
186,Delaware,Juices,0.214286
187,Delaware,Maple,0.142857
188,Delaware,Meat,0.678571
189,Delaware,Mushrooms,0.357143
190,Delaware,Nursery,0.071429
191,Delaware,Nuts,0.142857
192,Delaware,PetFood,0.142857
193,Delaware,Plants,0.535714
194,Delaware,Poultry,0.571429
195,Delaware,Prepared,0.607143
196,Delaware,Seafood,0.178571
197,Delaware,Soap,0.571429
198,Delaware,Tofu,0
199,Delaware,Trees,0.214286
200,Delaware,Vegetables,0.857143
201,Delaware,WildHarvested,0.071429
202,Delaware,Wine,0.071429
203,District of Columbia,Bakedgoods,0.886364
204,District of Columbia,Beans,0.363636
205,District of Columbia,Cheese,0.590909
206,District of Columbia,Coffee,0.409091
207,District of Columbia,Crafts,0.204545
208,District of Columbia,Eggs,0.863636
209,District of Columbia,Flowers,0.727273
210,District of Columbia,Fruits,0.909091
211,District of Columbia,Grains,0.068182
212,District of Columbia,Herbs,0.886364
213,District of Columbia,Honey,0.613636
214,District of Columbia,Jams,0.454545
215,District of Columbia,Juices,0.409091
216,District of Columbia,Maple,0.090909
217,District of Columbia,Meat,0.727273
218,District of Columbia,Mushrooms,0.477273
219,District of Columbia,Nursery,0
220,District of Columbia,Nuts,0.181818
221,District of Columbia,PetFood,0.113636
222,District of Columbia,Plants,0.318182
223,District of Columbia,Poultry,0.681818
224,District of Columbia,Prepared,0.431818
225,District of Columbia,Seafood,0.409091
226,District of Columbia,Soap,0.113636
227,District of Columbia,Tofu,0.045455
228,District of Columbia,Trees,0.045455
229,District of Columbia,Vegetables,0.954545
230,District of Columbia,WildHarvested,0.068182
231,District of Columbia,Wine,0.068182
232,Florida,Bakedgoods,0.923077
233,Florida,Beans,0.198718
234,Florida,Cheese,0.653846
235,Florida,Coffee,0.467949
236,Florida,Crafts,0.737179
237,Florida,Eggs,0.75641
238,Florida,Flowers,0.621795
239,Florida,Fruits,0.807692
240,Florida,Grains,0.25
241,Florida,Herbs,0.878205
242,Florida,Honey,0.929487
243,Florida,Jams,0.916667
244,Florida,Juices,0.423077
245,Florida,Maple,0.358974
246,Florida,Meat,0.49359
247,Florida,Mushrooms,0.326923
248,Florida,Nursery,0.083333
249,Florida,Nuts,0.538462
250,Florida,PetFood,0.410256
251,Florida,Plants,0.794872
252,Florida,Poultry,0.429487
253,Florida,Prepared,0.807692
254,Florida,Seafood,0.570513
255,Florida,Soap,0.814103
256,Florida,Tofu,0.102564
257,Florida,Trees,0.666667
258,Florida,Vegetables,0.967949
259,Florida,WildHarvested,0.237179
260,Florida,Wine,0.051282
261,Georgia,Bakedgoods,0.927419
262,Georgia,Beans,0.120968
263,Georgia,Cheese,0.58871
264,Georgia,Coffee,0.379032
265,Georgia,Crafts,0.637097
266,Georgia,Eggs,0.790323
267,Georgia,Flowers,0.677419
268,Georgia,Fruits,0.822581
269,Georgia,Grains,0.225806
270,Georgia,Herbs,0.798387
271,Georgia,Honey,0.919355
272,Georgia,Jams,0.903226
273,Georgia,Juices,0.298387
274,Georgia,Maple,0.153226
275,Georgia,Meat,0.572581
276,Georgia,Mushrooms,0.306452
277,Georgia,Nursery,0.032258
278,Georgia,Nuts,0.435484
279,Georgia,PetFood,0.258065
280,Georgia,Plants,0.612903
281,Georgia,Poultry,0.419355
282,Georgia,Prepared,0.548387
283,Georgia,Seafood,0.258065
284,Georgia,Soap,0.806452
285,Georgia,Tofu,0.056452
286,Georgia,Trees,0.370968
287,Georgia,Vegetables,0.927419
288,Georgia,WildHarvested,0.217742
289,Georgia,Wine,0.032258
290,Idaho,Bakedgoods,0.918919
291,Idaho,Beans,0.054054
292,Idaho,Cheese,0.513514
293,Idaho,Coffee,0.243243
294,Idaho,Crafts,0.864865
295,Idaho,Eggs,0.675676
296,Idaho,Flowers,0.756757
297,Idaho,Fruits,0.621622
298,Idaho,Grains,0.189189
299,Idaho,Herbs,0.918919
300,Idaho,Honey,0.864865
301,Idaho,Jams,0.891892
302,Idaho,Juices,0.135135
303,Idaho,Maple,0.135135
304,Idaho,Meat,0.513514
305,Idaho,Mushrooms,0.108108
306,Idaho,Nursery,0.108108
307,Idaho,Nuts,0.27027
308,Idaho,PetFood,0.081081
309,Idaho,Plants,0.810811
310,Idaho,Poultry,0.243243
311,Idaho,Prepared,0.864865
312,Idaho,Seafood,0.108108
313,Idaho,Soap,0.891892
314,Idaho,Tofu,0
315,Idaho,Trees,0.324324
316,Idaho,Vegetables,0.972973
317,Idaho,WildHarvested,0.135135
318,Idaho,Wine,0.243243
319,Illinois,Bakedgoods,0.926702
320,Illinois,Beans,0.167539
321,Illinois,Cheese,0.528796
322,Illinois,Coffee,0.408377
323,Illinois,Crafts,0.596859
324,Illinois,Eggs,0.633508
325,Illinois,Flowers,0.722513
326,Illinois,Fruits,0.82199
327,Illinois,Grains,0.188482
328,Illinois,Herbs,0.801047
329,Illinois,Honey,0.780105
330,Illinois,Jams,0.769634
331,Illinois,Juices,0.225131
332,Illinois,Maple,0.282723
333,Illinois,Meat,0.581152
334,Illinois,Mushrooms,0.293194
335,Illinois,Nursery,0.04712
336,Illinois,Nuts,0.277487
337,Illinois,PetFood,0.324607
338,Illinois,Plants,0.717277
339,Illinois,Poultry,0.492147
340,Illinois,Prepared,0.633508
341,Illinois,Seafood,0.21466
342,Illinois,Soap,0.696335
343,Illinois,Tofu,0.099476
344,Illinois,Trees,0.26178
345,Illinois,Vegetables,0.958115
346,Illinois,WildHarvested,0.136126
347,Illinois,Wine,0.068063
348,Indiana,Bakedgoods,0.979167
349,Indiana,Beans,0.125
350,Indiana,Cheese,0.527778
351,Indiana,Coffee,0.444444
352,Indiana,Crafts,0.805556
353,Indiana,Eggs,0.756944
354,Indiana,Flowers,0.770833
355,Indiana,Fruits,0.854167
356,Indiana,Grains,0.1875
357,Indiana,Herbs,0.770833
358,Indiana,Honey,0.895833
359,Indiana,Jams,0.861111
360,Indiana,Juices,0.194444
361,Indiana,Maple,0.541667
362,Indiana,Meat,0.645833
363,Indiana,Mushrooms,0.222222
364,Indiana,Nursery,0.034722
365,Indiana,Nuts,0.243056
366,Indiana,PetFood,0.298611
367,Indiana,Plants,0.888889
368,Indiana,Poultry,0.4375
369,Indiana,Prepared,0.631944
370,Indiana,Seafood,0.104167
371,Indiana,Soap,0.833333
372,Indiana,Tofu,0.006944
373,Indiana,Trees,0.256944
374,Indiana,Vegetables,0.986111
375,Indiana,WildHarvested,0.173611
376,Indiana,Wine,0.083333
377,Iowa,Bakedgoods,0.980198
378,Iowa,Beans,0.069307
