day,mean,std_err
281,1.2,0.195959
282,1.24,0.189989
283,1.24,0.189989
284,1.24,0.189989
285,1.24,0.189989
286,1.28,0.183478
287,1.32,0.185213
288,1.36,0.18659
289,1.4,0.187617
290,1.36,0.177809
291,1.48,0.179956
292,1.8,0.344093
293,1.8,0.344093
294,1.76,0.349994
295,1.72,0.355618
296,1.72,0.355618
297,1.72,0.355618
298,1.72,0.355618
299,1.76,0.354536
300,1.76,0.354536
301,1.72,0.346503
302,1.68,0.342789
303,1.72,0.341854
304,1.8,0.334664
305,1.8,0.334664
306,1.8,0.334664
307,1.8,0.334664
308,1.84,0.333131
309,1.88,0.331397
310,1.92,0.32946
311,2.04,0.336951
312,2,0.339411
313,1.96,0.341667
314,1.92,0.343721
315,1.88,0.345578
316,1.84,0.342602
317,1.6,0.187617
318,1.64,0.18659
319,1.92,0.270821
320,2.08,0.270821
321,2.08,0.270821
322,2.04,0.279886
323,2,0.288444
324,1.92,0.298905
325,1.84,0.297617
326,1.76,0.295459
327,1.76,0.295459
328,1.76,0.295459
329,1.8,0.299333
330,1.84,0.297617
331,2,0.32
332,2.04,0.317389
333,2.04,0.317389
334,2.08,0.3196
335,2.16,0.328293
336,2.08,0.3196
337,2.12,0.316582
338,2.16,0.31333
339,2.16,0.31333
340,2.16,0.31333
341,2.2,0.31496
342,2.12,0.316582
343,2.2,0.324962
344,2,0.25923
345,1.96,0.249672
346,2.04,0.249672
347,2.08,0.239466
348,2.12,0.228526
349,2.16,0.216739
350,2.16,0.216739
351,2.16,0.216739
352,2.12,0.221414
353,2.08,0.225708
354,2,0.226274
355,2,0.226274
356,1.92,0.195305
357,1.92,0.195305
358,1.88,0.198555
359,1.84,0.193329
360,1.84,0.193329
361,1.76,0.206146
362,1.72,0.208
363,1.76,0.213766
364,1.88,0.228526
365,1.88,0.228526
366,1.8,0.226274
